x0,x1,x2,x3,y,x4,x5
A0,21.0,A0,A0,0.02,0.01,0.0
A1,32.0,A1,A1,0.0,0.0,0.22
A2,27.0,A2,A2,0.05,0.0,0.0
A1,29.0,A3,A1,0.09,0.0,0.0
A3,22.0,A1,A3,0.09,0.07,0.0
A4,27.0,A4,A4,0.14,0.01,0.0
A5,32.0,A1,A5,0.16,0.18,0.05
A4,29.0,A5,A6,0.07,0.11,0.0
A6,26.0,A6,A7,0.01,0.0,0.0
A0,,A0,A8,0.1,0.04,0.0
A7,15.0,A1,A9,0.04,0.01,0.3
A6,22.0,A3,A10,0.09,0.03,0.01
A0,22.0,A6,A5,0.02,0.01,0.0
A8,32.0,A1,A11,0.55,0.01,0.0
A9,31.0,A3,A12,0.53,0.46,0.02
,34.0,A7,A13,0.0,0.0,0.05
,19.0,A6,A12,0.11,0.03,0.0
A9,33.0,A6,A7,1.59,0.03,0.0
A2,28.0,A4,A14,0.0,0.0,0.03
A11,31.0,A1,A15,0.15,0.34,0.0
A12,17.0,A8,A16,0.05,0.03,0.0
A13,28.0,A9,A11,0.36,0.02,0.0
A3,,A10,A17,0.06,0.04,0.0
,36.0,A7,A10,0.0,0.0,0.27
A1,28.0,A3,A10,0.0,0.0,0.06
A3,24.0,A4,A18,0.0,1.37,0.0
A9,30.0,A1,A10,0.18,0.12,0.0
,31.0,A4,A19,0.0,0.0,0.02
A2,25.0,A0,A1,0.09,0.0,0.02
A3,29.0,A10,A20,0.0,0.0,0.04
A4,34.0,A1,A6,0.03,0.05,0.0
A6,22.0,A11,A7,0.58,0.22,0.0
A3,22.0,A6,A21,0.38,0.29,0.0
A9,33.0,A1,A15,0.34,0.41,0.06
A2,27.0,A4,A22,0.0,0.0,0.02
A3,28.0,A7,A5,0.0,0.0,0.02
A14,36.0,A1,A10,0.0,0.0,0.02
A12,17.0,A1,A2,2.3,2.46,0.2
A4,31.0,A11,A23,1.41,0.51,0.01
A1,29.0,A6,A18,0.24,0.0,0.0
A3,25.0,A9,A7,0.53,0.02,0.0
A1,26.0,A1,A5,0.02,0.0,0.0
,28.0,A1,A24,0.43,0.52,0.02
A12,18.0,A10,A22,0.0,0.0,0.04
A5,33.0,A5,A25,0.0,0.0,0.03
A6,24.0,A11,A26,0.17,0.05,0.0
A1,,A1,A11,0.57,0.46,0.0
A2,27.0,A6,A27,0.02,0.0,0.0
A2,31.0,A8,A12,0.06,0.0,0.0
A3,20.0,A6,A7,0.78,0.61,0.06
A13,30.0,A8,A28,0.08,0.0,0.0
A4,34.0,A1,A29,0.06,0.04,0.0
A4,33.0,A10,A24,0.16,0.11,0.0
A6,23.0,A11,A7,0.17,0.05,0.0
A2,29.0,A8,A30,0.0,0.0,0.04
A13,29.0,A6,A31,0.14,0.1,0.0
A13,29.0,A6,A7,0.61,0.37,0.0
A15,23.0,A6,A7,0.31,0.08,0.0
A9,32.0,A8,A14,0.0,0.0,0.02
A11,29.0,A7,A32,0.0,0.01,0.0
A3,27.0,A6,A7,0.02,0.01,0.0
A9,28.0,A1,A24,0.2,0.04,0.0
A4,29.0,A4,A24,0.16,0.1,0.0
A15,25.0,A7,A12,0.27,0.07,0.0
A6,26.0,A9,A7,0.03,0.01,0.0
A3,23.0,A6,A5,0.02,0.02,0.0
A2,30.0,A6,A6,0.13,0.0,0.0
